/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.2_bud_180_22-07-19-18-32/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpuNavigation Model loaded on cpu

Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=18496 | return=6.57 | steps=68 | track=5fefc88260138f2c09e1f8efdca6bda8
global_step=18624 | return=36.44 | steps=87 | track=848124f79a4faedf707252c5ed611c9b
global_step=18672 | return=-148.22 | steps=131 | track=6c5c0fa93ee68a34458f53ed87348d4a
global_step=18672 | return=-122.31 | steps=131 | track=56907c4f8320a8a21fa3c509a42a872e
global_step=19008 | return=-138.81 | steps=131 | track=8598334c97dcbbbb330ce65a3f13347c
global_step=19120 | return=-37.51 | steps=46 | track=bf72c05c76392c00f12fc1a83f516068
global_step=19136 | return=-143.34 | steps=131 | track=0c13cf63ea1e388c6498af0fc8665a73
global_step=19152 | return=-140.98 | steps=131 | track=cd0678222512a95dbec2de7b6bfafc07
global_step=19408 | return=-114.67 | steps=131 | track=617013f6efe6fd39975320257def6c5d
global_step=19488 | return=-78.94 | steps=100 | track=d27454eda4921d24a5481dc793438dfe
global_step=19680 | return=-13.31 | steps=62 | track=73fc0bb89f6cb69fc5c3e53e00147df1
global_step=19680 | return=-15.27 | steps=62 | track=7cabe5c0ebe763e3580d6d7260e1449b
global_step=19792 | return=-69.36 | steps=100 | track=b2cacc81e64b9dbf594d88bdc8b8de4a
global_step=19920 | return=-18.07 | steps=49 | track=99f9dd8b5563ce2e688f7f1353e4b4d5
global_step=19968 | return=-141.21 | steps=131 | track=44c04e3c465e4a51790f9971fe08bfd0
global_step=20064 | return=-87.61 | steps=134 | track=ca44d158e02462aa5accaf19f3f93e07
global_step=20352 | return=-147.62 | steps=130 | track=718b9c9553d8da282fafbe2187ee3290
global_step=20432 | return=-143.95 | steps=131 | track=ff7e86901b365e6ab8fbe1df553dce56
global_step=20736 | return=-146.35 | steps=131 | track=d5af67eb43853a47b141291c9692535e
global_step=20800 | return=-24.30 | steps=51 | track=6552a32c936f17b6ff71f849e6fbbbe6
global_step=21008 | return=-93.88 | steps=94 | track=5cd4d2ab9f5e287cfce9435838a55e98
global_step=21120 | return=-132.13 | steps=131 | track=e5929cc502149f63004ee5166185906e
global_step=21248 | return=-133.78 | steps=131 | track=04d3550fe07ef8f2bb45bc275be5efb4
global_step=21456 | return=-69.84 | steps=143 | track=a7dcbaa3842dc5289ac56198a242053d
global_step=21632 | return=-66.28 | steps=121 | track=2757aadec4b7ac5da4c05456b238db12
global_step=21728 | return=-64.56 | steps=201 | track=01a1271376b6d795200cd0815a08ddbf
global_step=21792 | return=-147.10 | steps=131 | track=831275773ffc20495e39e7e8806f7d08
global_step=21888 | return=-134.30 | steps=130 | track=037101938de7427d9ae3141cfd86da0e
global_step=21920 | return=-56.50 | steps=49 | track=df1443693c3a61eca02b8b77f0ee4816
global_step=22048 | return=-60.80 | steps=49 | track=bf7e0de2b7dabdd8f89d23c301dcba08
global_step=22160 | return=-150.13 | steps=130 | track=5d283472b64e787848d105338acfd4eb
global_step=22400 | return=-55.27 | steps=154 | track=a001149a512ff8ec694a7565b137e36d
global_step=22496 | return=-66.31 | steps=47 | track=855e1528baeba77fa72a592baff27f04
global_step=22528 | return=-146.37 | steps=130 | track=ec46a333311d360790e1091300ad7912
global_step=22848 | return=-137.81 | steps=131 | track=58b47d725907d6c0ea8d05ab155dd7fe
global_step=22912 | return=-135.73 | steps=131 | track=e6f960d5e464b7c2d80a1bc88eead229
global_step=23120 | return=-132.13 | steps=131 | track=0f7c00f91e8eae5d24e225d247042c4f
global_step=23168 | return=-133.44 | steps=175 | track=6463a72d45a72c48d0c5f0b20ecefad5
global_step=23248 | return=-131.39 | steps=324 | track=4d5c76c2f98f35568338f4b8490d61eb
global_step=23472 | return=28.39 | steps=66 | track=0ac9c0f518e32d4858dc14893c1363c2
global_step=23568 | return=-131.90 | steps=131 | track=3f0a7beac3d6cfc63a5f35bb88483ae1
global_step=23744 | return=-138.60 | steps=131 | track=0343676bd48f8639506d10cabc2c11ef
global_step=23888 | return=-147.22 | steps=130 | track=f09896c30ec6d551209d351b9d0dc11f
global_step=24000 | return=-134.06 | steps=131 | track=c64a771799042738a68f1f7ac379a565
global_step=24144 | return=-90.57 | steps=295 | track=433022dcf901358cd862b548235a61fe
global_step=24144 | return=-146.84 | steps=130 | track=185356f8eff82e3a827262ad841a8941
global_step=24208 | return=13.91 | steps=67 | track=9c7aec2c51ec6fc1e41cfc57711231c0
global_step=24272 | return=-142.07 | steps=131 | track=067847a4ace9351281c194cb18f0795c
