/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.8_bud_180_04-08-13-39-39/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=19392 | return=-147.18 | steps=130 | track=5038ddb0f74298fc0d94064d22c8d7e9
global_step=19600 | return=-129.88 | steps=131 | track=c5f547b95cdb0fd8d8c0a749c773514d
global_step=19920 | return=-148.32 | steps=130 | track=aa209465f0c490b08e0731dffc9b7bc9
global_step=19968 | return=-156.69 | steps=132 | track=1355828fde40e3bb4eba645ef05c75bb
global_step=20016 | return=-136.89 | steps=122 | track=aca6773f2a01b95afd161407b81bbb4a
global_step=20416 | return=-150.38 | steps=130 | track=fcfff098f857c810b410ac1a2c58d253
global_step=20432 | return=-115.23 | steps=143 | track=b7f408a3d01c07755e34315327ed3a78
global_step=20432 | return=-15.03 | steps=147 | track=ac9be8666fcdc9be005477101ad1b5c2
global_step=20576 | return=-147.79 | steps=131 | track=2d3398f86e6e13c45a5f8482411df076
global_step=20720 | return=-138.57 | steps=240 | track=b3d338adc2019e42f5e19445dbc21d59
global_step=20768 | return=-113.17 | steps=96 | track=2e31bf67dfbc090a190811ebf84236a1
global_step=20816 | return=-142.31 | steps=131 | track=f8f99979a5f143d44683f8f8763d6d49
global_step=20880 | return=-146.13 | steps=131 | track=75add8b08d169fcabf34d475d6e0fdc0
global_step=21040 | return=-140.07 | steps=131 | track=dafd398584d2ef04c1692c71c14b5853
global_step=21360 | return=-55.69 | steps=48 | track=2e7c6f111abc5afe9278bf21c79516e6
global_step=21392 | return=-148.78 | steps=131 | track=2ec7493db153f481660485fef0bea403
global_step=21456 | return=-154.01 | steps=131 | track=2c9d978e772a2eb3fbf463ab5fcd7d04
global_step=21456 | return=27.49 | steps=64 | track=76bfc5a807561636a35b22c7ba7a79ab
global_step=21488 | return=-139.88 | steps=130 | track=ca5712ae9ed8b634e3ddc0a541888c4f
global_step=21696 | return=-49.60 | steps=78 | track=11627f79a2e3b54d8575728a897adeff
global_step=21712 | return=-147.03 | steps=131 | track=718ba9fe3ad09ddc765791ce8e1a1e61
global_step=22016 | return=-149.14 | steps=127 | track=fc8b09f0a664d0155f587daedde845b8
global_step=22032 | return=-140.50 | steps=131 | track=2461ecc15376c3a975a09dcb750dc6fe
global_step=22128 | return=-164.95 | steps=131 | track=0a6a22fcfe205162502744571123d168
global_step=22352 | return=-66.93 | steps=53 | track=40e23cbfc2c1f8f0cb8434839e035c23
global_step=22432 | return=-3.87 | steps=66 | track=709373b398d86520ee6edefbfdd40919
global_step=22448 | return=-29.49 | steps=61 | track=53388487c6b8ed29f29d2ccd94ee0bf4
global_step=22832 | return=-137.67 | steps=131 | track=d0af03ecba07d5b164058cf9efef8990
global_step=22880 | return=-138.15 | steps=131 | track=2a4a960136ec84945aa59082c93119a0
global_step=22992 | return=-120.20 | steps=135 | track=8152f47021807af07b36322551da3f94
global_step=22992 | return=-144.54 | steps=131 | track=854d536b16454ff6e9aca09587a9d17b
global_step=23088 | return=-78.96 | steps=66 | track=751e9b446388f3aba8a5884b6acb2e59
global_step=23248 | return=-171.51 | steps=175 | track=01315cdf0cdbbbdecd0730bb0aae2ec5
global_step=23328 | return=-95.59 | steps=100 | track=4eaee324884f194474438c3af6e155e3
global_step=23344 | return=-131.79 | steps=117 | track=06aea00eff40176d0fecb2a3d95554a8
