/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_1.0_bud_180_21-07-13-22-40/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=20464 | return=-137.67 | steps=131 | track=29798233dd77577b52a1d7f457e402d1
global_step=20496 | return=-23.50 | steps=161 | track=d8921609c33fde6e71b6b300b87e02a2
global_step=20576 | return=-138.19 | steps=131 | track=b954d1f4353f549a41da882bdcac4b5a
global_step=20640 | return=-2.37 | steps=69 | track=0800756c5ecd3c149921834793274971
global_step=20864 | return=-120.58 | steps=130 | track=b6fe89468fbf3053f8ed8e4dfd86eaee
global_step=21520 | return=-58.47 | steps=151 | track=1a65e657a8f68250f4bc557680d03b04
global_step=21696 | return=65.38 | steps=203 | track=5f84dcb6bb3d6beec0e39f5324fd6aed
global_step=21760 | return=-115.34 | steps=131 | track=29bdb31970662b6a4cd9f7a0950cf29b
global_step=21792 | return=-72.97 | steps=176 | track=9a8ababc4ae58973c18b966ae44e5a95
global_step=21856 | return=-82.68 | steps=225 | track=a3649f259a2fd38c364cbedfb20b5a4e
global_step=21872 | return=-126.74 | steps=131 | track=a4c871c2bcf81f00448e8409fe7eabab
global_step=21952 | return=-96.93 | steps=223 | track=5509b9101ee0ed8afe32e57cda225495
global_step=22256 | return=-140.80 | steps=131 | track=8efc0b8a1595967d50f7276136a31d06
global_step=22320 | return=-61.86 | steps=149 | track=2765a67bb62cea83e8e2da0bd9490400
global_step=22336 | return=-146.11 | steps=130 | track=17594b2487a62f5ac61d39ccecc96441
global_step=22576 | return=-144.21 | steps=131 | track=8fbc68e6136f469ab96d994a7a7b97e6
global_step=22688 | return=-147.73 | steps=131 | track=13191a85ec700a4da1a41d9ac3f3cee3
global_step=22688 | return=-128.84 | steps=194 | track=d29871e8a4e52638c397221623edecb6
global_step=22704 | return=-69.21 | steps=51 | track=ae8f86607376bd63347ba0fccc38cbeb
global_step=22752 | return=-137.58 | steps=131 | track=fcd3595a49dfda4d9836fe44ad1f2e54
global_step=22912 | return=-70.74 | steps=150 | track=526216769b032aa77598fb2e4d497bdb
global_step=23296 | return=-34.27 | steps=60 | track=e0d6159181db0c0d38fe65d480a7f3ed
global_step=23616 | return=-20.29 | steps=109 | track=9792792b9669f0d8e9377c3173a8d267
global_step=23632 | return=-130.48 | steps=131 | track=fd5b33674a70a04da1bbc5a687fa2f8d
global_step=23872 | return=-139.59 | steps=131 | track=6a5da48edfab0fc9770cd3df4f2f3ab7
global_step=23920 | return=-103.38 | steps=132 | track=82d688caf9d7a9d1b9191d8d8067184a
global_step=24064 | return=-149.97 | steps=131 | track=f5291f5ad49308ebec2c75af5908d6b1
global_step=24096 | return=-53.14 | steps=149 | track=7714742d668f1e9b0ac90f0c34c50cbd
global_step=24432 | return=-143.80 | steps=130 | track=831a3e84396278ee73934c4fe1596d1e
global_step=24512 | return=-223.79 | steps=227 | track=c99471743a2a5a89c810eba91a6ffe41
global_step=24592 | return=-83.56 | steps=145 | track=8653c50ac2f8c946544d0da07da18b53
global_step=24688 | return=-131.20 | steps=131 | track=7daafc968e9aed6dc46c9f70e1ea7ed9
