/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_2.2_bud_180_22-07-13-02-37/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=16848 | return=-161.01 | steps=131 | track=3930212fad8b48a58b87bb9b10899120
global_step=16864 | return=-166.79 | steps=131 | track=075f9d73f742783aaddc8ebf1ddb3334
global_step=16944 | return=-39.81 | steps=44 | track=92c7d6737d0c3be16fa3c20e249301fe
global_step=17408 | return=-144.85 | steps=131 | track=39a40ec82cc768ffcd38e17d00558b96
global_step=17440 | return=-138.96 | steps=130 | track=4f2aea368f3898b37fb9fba7788a42bb
global_step=17680 | return=-161.06 | steps=185 | track=73794dcaed6d49a9b9cfa26f33734adb
global_step=17680 | return=-147.31 | steps=130 | track=bdb62008157f42254173d1c5a8b3b56d
global_step=17776 | return=-60.02 | steps=166 | track=6022c199a2d5bf32f136bb945fa2dd52
global_step=18096 | return=-147.43 | steps=131 | track=80c0cb30073901d6a09ec5acacfeb6bd
global_step=18128 | return=-134.98 | steps=131 | track=1c98ea05b49c5ce4f9a63c8e54db347d
global_step=18128 | return=-158.87 | steps=131 | track=66d51d41d3e4e290f61b71aa6dfd74ff
global_step=18224 | return=-44.92 | steps=79 | track=ce3975d894b9ffbfd3a5f39d30b92923
global_step=18240 | return=-147.67 | steps=131 | track=880a1194b0c9e9c82bd94d43c31d3bc8
global_step=18320 | return=9.39 | steps=54 | track=9dc280924e9026ffacec10f92f64d96c
global_step=18512 | return=-130.15 | steps=131 | track=ba88d184471383c26c373964ff29bc40
global_step=18528 | return=-116.04 | steps=130 | track=5d58355e28dde9261edfd275e53cbc16
global_step=18880 | return=7.34 | steps=68 | track=b8021afec675dd1fb7aa2f1db4759ed9
global_step=18912 | return=-52.08 | steps=42 | track=7d3149ee248452a17c21e82db2fdf6f9
global_step=18912 | return=-146.37 | steps=131 | track=4f9f419ff040e0dca31b342554f3e8e1
global_step=18960 | return=-148.78 | steps=131 | track=2f319b1e6c5d3973b647ecf9ff51261a
global_step=18976 | return=-138.40 | steps=131 | track=20f3b918383690b09d9a560aa4868edf
global_step=19152 | return=-53.55 | steps=108 | track=2d21dbe3dfc20c4036a2f2324330147e
global_step=19488 | return=26.81 | steps=60 | track=96b386191da56c2598381445a0009b4f
global_step=19728 | return=-133.88 | steps=234 | track=61e4df82f54d946f024cf42b7662468d
global_step=19776 | return=-143.98 | steps=130 | track=fab014166b18c35fe3c1609363aa8766
global_step=19792 | return=-137.46 | steps=131 | track=00bebacf22e19aeba7da8cfc7b9a42b1
global_step=20032 | return=-75.47 | steps=71 | track=f9480deee78240d81e197035dd528e92
global_step=20064 | return=-31.66 | steps=67 | track=269f30d6bb7c88f26626b195ad5644e9
global_step=20112 | return=48.55 | steps=98 | track=902a2c8f5a4cb11307ed622ece44e9ec
global_step=20240 | return=-142.81 | steps=131 | track=1bde15873ebd7ffc35d78f984a7ed13e
global_step=20352 | return=-142.43 | steps=131 | track=f815c3c8d4535ae7ef941a0097363938
global_step=20400 | return=-153.79 | steps=143 | track=209499cb06b1f4a32320c4117d84acca
global_step=20416 | return=-155.80 | steps=130 | track=f5b005874ee726826c8eb2c88cd36532
global_step=20640 | return=-65.31 | steps=156 | track=dbde77cba625122e364dddc584cb3bbd
global_step=21008 | return=-154.57 | steps=130 | track=3d215eb1cce9b08ebaf463276427e2b9
global_step=21024 | return=-132.99 | steps=131 | track=9ad6e98371771973051dfb8460fa5f3b
global_step=21056 | return=-63.78 | steps=61 | track=455af17fada8ec3fdb4abe2778f04674
global_step=21088 | return=14.51 | steps=65 | track=71bdf428dcb98e286e933349c3111e20
global_step=21264 | return=-135.19 | steps=131 | track=0be5c8889bf7922d86a895b327e715fb
global_step=21600 | return=-157.16 | steps=131 | track=5cf00160788edfba85acfcf508bb5732
global_step=21696 | return=36.40 | steps=80 | track=2578c905fe5de01017fa94520f415e3d
global_step=21888 | return=-85.80 | steps=49 | track=09dcf95a31dc91ec5890c474f4d52626
global_step=21888 | return=-153.59 | steps=131 | track=e3b4d373a27b47f25bc78e778f287cd0
global_step=21904 | return=-146.72 | steps=131 | track=1fa6c8e9b19e5d61e6323f9ac7259240
global_step=22144 | return=-59.08 | steps=150 | track=f20dab120e38c4197eb17275891ee737
global_step=22224 | return=-165.21 | steps=131 | track=bead5187ce651f9aa2d77e79c9afbc0d
global_step=22320 | return=-149.98 | steps=129 | track=ce479647818297aefcdb68426b8732e9
global_step=22512 | return=-147.12 | steps=130 | track=98eb9bc1005c47bb5da30a990ac09ee9
global_step=22592 | return=-112.85 | steps=226 | track=ef15f5b58d56795c2ee37ed6737589a7
global_step=22704 | return=-94.00 | steps=146 | track=8ba7f17ceba767cec8603ebcd8d833cf
global_step=22752 | return=-142.59 | steps=131 | track=61d2ba89ae618802477e2a6e85a4691a
global_step=22752 | return=-4.32 | steps=65 | track=ab5d8b023fd5278b39b247c622973487
global_step=22784 | return=-119.77 | steps=94 | track=ed86092a0710abb2e887e944865aab5d
