/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_fc_0.0_bud_180_21-07-13-18-20/info_settings.txt
Device: cpu
Navigation model path: old/experiments/navigation/runs/CarRacing-v3__ppo__1__1781901069/final.pt
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=17280 | return=-56.12 | steps=159 | track=0b2e8c8215fb29c529c4105f1bdf8bd9
global_step=17520 | return=-127.74 | steps=130 | track=6568960983df55805916b3beb7e5a999
global_step=17568 | return=-9.30 | steps=58 | track=1621df602401dc180b7634c1c72599d2
global_step=17760 | return=-132.39 | steps=130 | track=4c7d227f51bb45a6096a196e92af9589
global_step=17920 | return=-108.13 | steps=131 | track=e8db068dc42186eabc0051e370a37527
global_step=17936 | return=-67.59 | steps=201 | track=8cbc97e59639681e2bdec926cbab5d8c
global_step=18000 | return=4.31 | steps=153 | track=4ad1ab2e3d103f1c0813151e34c38040
global_step=18032 | return=-136.22 | steps=131 | track=cd2efd43f4a6c0bc560b20bcc2bbebbc
global_step=18080 | return=135.02 | steps=179 | track=29a5c255f59df9b4008a0d19ad4fea02
global_step=18176 | return=-25.33 | steps=40 | track=875d1941e7d383f43066df5942e1f4f5
global_step=18256 | return=34.88 | steps=87 | track=ca992aebedc7176371a74123dc52fef5
global_step=18512 | return=-120.13 | steps=131 | track=1b79bebfe4afb04721e817f474727ccb
global_step=18560 | return=-126.58 | steps=131 | track=f72ee050ef1fdce3e24b8f499df9cd6a
global_step=18624 | return=-134.00 | steps=131 | track=438eb7b30838f4e19b5c5695417ffc1f
global_step=18688 | return=23.51 | steps=57 | track=317dbedc9941db5a32fe37baac9b56b0
global_step=18768 | return=-130.16 | steps=130 | track=fd1be270bfc963651dce357d33c795af
global_step=18832 | return=86.10 | steps=55 | track=38ab6ee7972592bf6ea5e552fd0d74a4
global_step=19024 | return=-13.94 | steps=61 | track=7ecca74e2c1bce4ba6293b4a28a7a349
global_step=19376 | return=-118.93 | steps=130 | track=56a6bfbeb27f50a9dca73279d7507724
global_step=19632 | return=-49.60 | steps=49 | track=a6cee324892900d41d09ef07985a292e
global_step=19664 | return=-133.74 | steps=130 | track=6f60b08874fceb31e8fb8a01812e5aa4
global_step=19712 | return=-41.29 | steps=153 | track=4b61f0538ff6af9bb078a7c9f123857a
global_step=20032 | return=-131.20 | steps=131 | track=f591a67320bde6933619d38de71bbad1
global_step=20096 | return=41.29 | steps=98 | track=58b0fa7be26b716816fffa4e82349a43
global_step=20096 | return=-127.28 | steps=130 | track=7b1414c73b668f16d34c9fd9205aac61
global_step=20192 | return=-123.26 | steps=131 | track=f37dc06021a93f718e0881218c0fc3c7
global_step=20288 | return=-139.03 | steps=131 | track=440811cb9ec0700af5c66659a18c22b4
global_step=20368 | return=-127.91 | steps=131 | track=d3505e1820f894fe81e828f290dd83df
global_step=20656 | return=-128.42 | steps=130 | track=dc980dd0cae6276f44ee0802e2dc4daa
global_step=20736 | return=15.06 | steps=68 | track=395c8f8cd151c084d8d0ebb601e7b4e1
global_step=20784 | return=-131.40 | steps=130 | track=5f3c06d85361dd84e5715bc5f2afc16d
global_step=20816 | return=-32.73 | steps=89 | track=9712649a9d9a4986159bc4af29ec3bae
global_step=20880 | return=-125.67 | steps=131 | track=f38e4813f59804d5a148d65e9df7de3d
global_step=21136 | return=-128.77 | steps=131 | track=7b01f7d1982bcd2ad0adc6ec2f06c754
global_step=21200 | return=-77.95 | steps=160 | track=f67175f19667c0a15b9a93d4b520e4c9
global_step=21744 | return=-21.22 | steps=67 | track=3635ac246ed6a8bb87711a8c1f9ee02e
global_step=21744 | return=-85.34 | steps=85 | track=60dcae600e1a962654fb51774c596d9d
global_step=21776 | return=-123.51 | steps=131 | track=796c741040cff9eec73db23026f978f3
global_step=21824 | return=-130.41 | steps=131 | track=f5e7acbc7d45f6d8a5136716805ba35a
global_step=22144 | return=-128.77 | steps=131 | track=a8b23de1b2ad6adcd4934ad424100e6d
global_step=22208 | return=-123.01 | steps=131 | track=7103a2fa18d036c775d108f6fb26c38b
global_step=22208 | return=-129.39 | steps=131 | track=679d51c663cbe84459c495e47b111aef
Traceback (most recent call last):
  File "/md0/home/UFAD/tcuevasmestanza/CarRacing/training/train_adaptive_fps_track_aware_lstm.py", line 371, in <module>
    next_obs, reward, terminations, truncations, infos = envs.step(action.cpu().numpy())
                                                         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
