/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `track-seed` is annotated with type `<class 'int'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/racing/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/adaptive_fps_track_aware_lstm/CarRacing_VarFramerate_WO_Time_Pen_fc_1.9_bud_180_04-08-14-41-58/info_settings.txt
Device: cpu
Navigation model path: experiments/navigation/CarRacing-v3__train__1__1785768450/final.pt
Env: CarRacing_VarFramerate_WO_Time_Pen  Wrapper: AdaptiveFPS_TrackAware_Wrapper
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
Navigation Model loaded on cpu
global_step=20104 | return=-91.14 | steps=131 | track=36ca26437fba69498b366eb53663ea59
global_step=20104 | return=-91.87 | steps=131 | track=507fde34bc5d71369c412e9bed13e03a
global_step=20224 | return=26.41 | steps=68 | track=aa24dead8de1a6aad46ea1dfea7b6d90
global_step=20264 | return=-91.81 | steps=131 | track=ad09b5a35eec2a06a8e1fc2664010e2e
global_step=20488 | return=-91.13 | steps=131 | track=04131a46a4782281348bdafdefc3d048
global_step=20936 | return=72.99 | steps=115 | track=fb54cb96045c23f926fa320165f60ee6
global_step=20976 | return=24.65 | steps=88 | track=e15e6a6322238c85a63801ae78f2bcee
global_step=21176 | return=15.28 | steps=150 | track=df1589fc546b8c1cab41eb480a95849f
global_step=21256 | return=-100.40 | steps=128 | track=97c74b128ff1e308d802d67a64e1406c
global_step=21544 | return=-81.88 | steps=131 | track=66e4e37338652d01a65e2c42a6776929
global_step=21984 | return=-121.11 | steps=234 | track=ccabdddbb812be8c3545398485ccc477
global_step=21992 | return=-111.03 | steps=131 | track=c7c1ceddc15a484e9f603f226d4e2768
global_step=22120 | return=-83.53 | steps=273 | track=2607383e1ea757263bffbd09ea47ff9a
global_step=22224 | return=-96.62 | steps=130 | track=ea17cc2181b3f44a4b3c0ef9f3eae664
global_step=22312 | return=-100.91 | steps=131 | track=0af8a52c928ebf028983a0e899083ec1
global_step=22576 | return=-92.98 | steps=199 | track=bba257f60a4a368cc47827a061d3ad98
global_step=22648 | return=18.36 | steps=65 | track=a79e503a161f843c66063fe598398876
global_step=22680 | return=-87.77 | steps=141 | track=0ae9bd84f61f47a35ce831be52c48813
global_step=22688 | return=95.43 | steps=322 | track=69eccb8ed0e6576d2e2c7614758865af
global_step=23024 | return=-55.73 | steps=88 | track=7a55d56020c8757d004a5cc7062351ab
global_step=23040 | return=-107.89 | steps=131 | track=e42b80fd765c5653013551f4531c6aac
global_step=23048 | return=-91.21 | steps=131 | track=e5b0abd970eeac0d71ea12d47d7bb127
global_step=23400 | return=-70.53 | steps=89 | track=6e4610f76864c2cc90eff05c8e828d04
global_step=23464 | return=17.21 | steps=154 | track=8838aaaab395a83584b352dc8fe1b3d3
global_step=23624 | return=-105.27 | steps=130 | track=32f8c6e8ebeb7153745d132d41f4e992
global_step=23744 | return=-95.83 | steps=131 | track=bcec00af82ff4ac8a876c3cf1dc895ac
global_step=23816 | return=-30.37 | steps=145 | track=ef2d1276b1ba326f0a57a15a2dcd9705
